City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Decription
196,Tomball,US,30.0972,-95.6161,66.81,90,100,3.44,overcast clouds
197,Tuatapere,NZ,-46.1333,167.6833,65.1,68,71,5.93,broken clouds
198,Tilichiki,RU,60.4667,166.1,-6.39,95,91,6.87,overcast clouds
199,Lakes Entrance,AU,-37.8811,147.981,57.16,87,97,16.04,light rain
200,Elizabeth City,US,36.2946,-76.2511,52.02,89,75,5.75,broken clouds
201,Quatre Cocos,MU,-20.2078,57.7625,76.08,73,1,13.51,clear sky
202,Karratha,AU,-20.7377,116.8463,98.8,20,51,3.09,broken clouds
203,Dongsheng,CN,39.8161,109.9776,11.44,32,0,22.35,clear sky
204,Basco,PH,20.4487,121.9702,77.74,76,91,26.24,overcast clouds
205,Kaitangata,NZ,-46.2817,169.8464,62.47,71,54,10.83,broken clouds
206,Casper,US,42.8666,-106.3131,37.38,41,100,9.55,overcast clouds
207,Okhotsk,RU,59.3833,143.3,-22.81,83,12,13.8,few clouds
208,Walvis Bay,NA,-22.9575,14.5053,61.09,94,1,3.44,clear sky
209,Khorramshahr,IR,30.4397,48.1664,53.56,76,0,0.0,clear sky
210,Coquimbo,CL,-29.9533,-71.3436,64.13,82,0,5.75,clear sky
211,Tura,IN,25.5198,90.2201,63.1,70,5,1.88,clear sky
212,Nyaunglebin,MM,17.95,96.7333,75.94,72,18,3.15,few clouds
213,Yulara,AU,-25.2406,130.9889,82.18,27,0,10.49,clear sky
214,Saskylakh,RU,71.9167,114.0833,-2.34,94,100,12.41,overcast clouds
215,Camiri,BO,-20.05,-63.5167,71.55,81,100,2.64,overcast clouds
216,Balad,IQ,34.0164,44.1453,53.62,48,100,0.58,overcast clouds
217,Oistins,BB,13.0667,-59.5333,74.52,83,20,6.91,few clouds
218,Kavieng,PG,-2.5744,150.7967,84.61,70,100,8.48,overcast clouds
219,Ostrovnoy,RU,68.0531,39.5131,19.81,94,100,11.39,snow
220,Te Anau,NZ,-45.4167,167.7167,69.84,51,55,5.19,broken clouds
221,Svetlaya,RU,46.5389,138.3297,18.91,49,10,4.09,clear sky
222,Ikirun,NG,7.9167,4.6667,67.57,86,56,3.31,broken clouds
223,Bambous Virieux,MU,-20.3428,57.7575,76.21,78,20,8.05,few clouds
224,Narsaq,GL,60.9167,-46.05,13.03,63,15,8.81,few clouds
225,Byron Bay,AU,-28.65,153.6167,87.94,64,85,20.36,overcast clouds
226,Lyambir,RU,54.2817,45.1249,28.09,84,100,21.0,overcast clouds
227,Quevedo,EC,-1.0333,-79.45,80.4,63,97,3.18,overcast clouds
228,Nokaneng,BW,-19.6667,22.2667,73.13,73,99,7.14,overcast clouds
229,Dano,BF,11.15,-3.0667,71.85,16,54,5.93,broken clouds
230,Gorontalo,ID,0.5412,123.0595,87.85,61,98,1.9,overcast clouds
231,Lompoc,US,34.6391,-120.4579,49.89,85,0,5.75,clear sky
232,Nipawin,CA,53.3668,-104.0009,19.44,79,75,11.5,broken clouds
